Ranking	Name	Affiliation	Google Scholar	Book Points	Highest Amazon	Syllabus Points	Newspaper Mentions	Education Press	Web Mentions	Congressional Record	Twitter	Total	Twitter Handle
179	Cory Koedel	U. Missouri	23	0.5	0	0.2	1	2	2.9	0	5.7	35.3	CoryKoedel
180	Lori Patton Davis	Ohio State	26	0.5	0	0	0	0	1.6	0	5.4	33.5	LoriPattonDavis
181	Sarah Reckhow	Michigan State	11	2.5	0	0.5	2	6	5.5	0	5.4	33	SReckhow
182	Vanessa Siddle Walker	Emory	14	7	0	1	2	2	6.8	0	0	32.9	
183	Maisha Winn	UC Davis	12	6	8.5	0.7	0	0	5.4	0	0	32.6	
184	Michael Lovenheim	Cornell	24	1	0	0.2	0	2	4.3	0	0	31.5	
185	Daphna Bassok	U. Virginia	16	1	0	0.2	0	2	6.5	0	5.1	30.8	daphnabassok
186	Doug Webber	Temple	14	0	0	0	3	6	1.3	0	6.3	30.6	dougwebberecon
187	Stella Flores	NYU	19	0.5	0	0.2	0	1	1.8	0	5.7	28.2	ProfessorFlores
188	Vivian L. Gadsden	U. Penn	22	1.5	0	0.2	0	0	3.5	0	0	27.2	
189	John P. Papay	Brown	22	0.5	0	0.1	2	0	2.2	0	0	26.8	
190	Anna Egalite	North Carolina State	16	0	0	0	3	0	2	0	5.5	26.5	annaegalite
191	Patrick McGuinn	Drew	18	3	0	0.6	1	2	0.8	0	0	25.4	
192	Jennifer Jennings	Princeton	20	0	0	0.3	3	0	1.8	0	0	25.1	
193	Michael Feuer	George Washington	14	5	0	0	0	0	5.8	0	0.1	24.9	mjfeuer
194	Sarah Cohodes	Columbia (TC)	13	0	0	0.1	0	2	3.3	0	5.3	23.6	SarahCohodes
195	Nora Gordon	Georgetown	13	0	0	0.6	0	2	2.4	0	5.3	23.3	NoraEGordon
196	Jordan Matsudaira	Columbia (TC)	11	0	0	0.3	0	0	1.4	5	5.3	23	jdmatsudaira
197	Eric Taylor	Harvard	13	0	0	0.3	0	0	8.6	0	0.1	22.1	eric_s_taylor
198	Lesley Turner	Vanderbilt	14	0	0	0.4	0	3	3.3	0	0	20.6	
199	David Steiner	Johns Hopkins	6	0	0	0.1	4	5	2.3	0	0	17.4	
200	Ruth N. Lopez Turley	Rice	9	0	0	0	0	0	0.8	0	3.4	13.2	RuthLTurley
